Plant,FatherPlant,Filled ,Total,Percent,Year,Note
1,2,33,49,0.673469388,2018,
1,3,0,55,0,2018,
1,47,0,56,0,2019,
1,58,29,56,0.517857143,2018,
1,110,0,51,0,2019,
2,1,28,38,0.736842105,2018,
2,3,27,35,0.771428571,2018,
2,5,24,36,0.666666667,2019,
2,16,29,34,0.852941176,2019,
2,58,0,32,0,2019,
2,191,2,34,0.058823529,2018,
2,192,1,35,0.028571429,2019,
3,1,36,37,0.972972973,2019,
3,2,12,49,0.244897959,2018,
3,7,42,46,0.913043478,2018,
3,58,44,45,0.977777778,2018,
5,2,36,53,0.679245283,2019,
5,6,0,50,0,2018,
5,7,0,51,0,2018,
5,56,0,52,0,2018,
6,5,34,36,0.944444444,2018,
6,7,46,49,0.93877551,2018,
6,10,39,47,0.829787234,2018,
6,56,3,43,0.069767442,2018,
7,3,36,39,0.923076923,2018,
7,5,0,37,0,2018,
7,6,38,39,0.974358974,2019,
7,56,0,38,0,2018,
9,10,49,49,1,2019,
9,11,41,49,0.836734694,2018,
9,12,14,43,0.325581395,2018,
9,14,47,51,0.921568627,2018,
10,6,35,42,0.833333333,2018,
10,9,7,37,0.189189189,2018,
10,11,11,50,0.22,2018,
10,12,0,51,0,2018,
10,114,0,43,0,2019,
11,9,0,42,0,2019,
11,10,0,37,0,2019,
11,12,3,41,0.073170732,2019,
12,9,2,45,0.044444444,2019,
12,10,0,54,0,2018,
12,11,6,44,0.136363636,2018,
12,95,0,47,0,2019,
13,14,0,34,0,2018,
13,17,0,33,0,2019,
13,47,13,41,0.317073171,2018,
13,48,5,36,0.138888889,2018,
14,9,29,33,0.878787879,2019,
14,13,0,35,0,2018,
14,47,0,29,0,2018,
14,48,3,40,0.075,2018,
16,2,32,50,0.64,2018,
17,13,0,32,0,2019,
17,18,0,44,0,2018,
17,44,36,51,0.705882353,2018,
17,45,27,47,0.574468085,2018,
18,17,0,46,0,2018,
18,44,2,33,0.060606061,2019,
18,45,40,42,0.952380952,2018,
19,21,31,51,0.607843137,2018,
19,22,24,44,0.545454545,2019,
19,39,36,51,0.705882353,2018,
21,19,32,34,0.941176471,2019,
21,22,20,53,0.377358491,2018,
21,24,29,50,0.58,2018,
21,39,39,44,0.886363636,2018,
22,19,22,33,0.666666667,2018,
22,21,0,25,0,2018,
22,39,8,41,0.195121951,2018,
23,24,37,39,0.948717949,2018,
23,26,1,31,0.032258065,2018,
23,28,3,35,0.085714286,2018,
23,54,23,35,0.657142857,2019,
24,21,24,38,0.631578947,2018,
24,23,38,43,0.88372093,2018,
24,25,0,23,0,2019,
24,26,1,45,0.022222222,2018,
25,24,0,51,0,2018,
25,26,0,48,0,2018,
26,23,1,38,0.026315789,2019,
26,24,5,47,0.106382979,2019,
26,25,0,42,0,2019,
27,192,41,45,0.911111111,2018,
28,23,1,48,0.020833333,2018,
28,29,0,52,0,2018,
28,30,0,49,0,2018,
28,33,1,50,0.02,2018,
29,28,0,48,0,2018,
29,30,0,51,0,2018,
29,33,1,41,0.024390244,2018,
30,29,0,44,0,2018,
30,33,0,47,0,2018,
33,28,2,46,0.043478261,2018,
33,29,18,42,0.428571429,2018,
33,30,0,45,0,2018,
33,35,6,47,0.127659574,2018,
33,48,20,35,0.571428571,2019,
35,33,27,44,0.613636364,2018,
35,36,5,46,0.108695652,2018,
35,37,13,43,0.302325581,2018,
35,86,29,42,0.69047619,2018,
36,35,0,38,0,2018,
36,37,16,45,0.355555556,2018,
37,35,0,40,0,2018,
39,21,52,56,0.928571429,2018,
